iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,employee_residence,salary_in_usd
GEO,Asia,Georgia,2022-03-05,1623672.0,3033.0,3642.857,16338.0,32.0,34.429,407981.058,762.104,915.343,4105.259,8.041,8.651,,,,,,,,,,,,,,,,,,,2825833.0,1577043.0,1248790.0,,798.0,1393.0,71.0,39.63,31.38,,350.0,992.0,0.025,,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,,Georgia,57000.0
IRN,Asia,Iran,2022-03-05,7084306.0,4089.0,7623.286,137747.0,154.0,193.857,83316.586,48.09,89.655,1620.005,1.811,2.28,,,,,,,,,,,,,,,,,,,142537180.0,63077531.0,55685708.0,23773941.0,,218740.0,167.63,74.18,65.49,27.96,2573.0,54966.0,0.065,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,Iran,100000.0
ARE,Asia,United Arab Emirates,2022-03-05,882477.0,558.0,533.0,2301.0,0.0,0.0,88326.461,55.85,53.348,230.305,0.0,0.0,,,,,,,,,,,,,,,,,,,24200694.0,9890349.0,9514515.0,4795830.0,20510.0,15749.0,242.22,98.99,95.23,48.0,1576.0,10.0,0.0,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,,United Arab Emirates,100000.0
ZAF,Africa,South Africa,2022-03-05,3683172.0,1735.0,1597.286,99543.0,26.0,50.286,61343.264,28.896,26.603,1657.89,0.433,0.838,,,,,,,,708.0,11.792,,,,,,,,,,,,,,,,,,,,,,,,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,,,,,South Africa,62935.4
CYP,Europe,Cyprus,2022-03-05,331508.0,1834.0,1819.286,875.0,2.0,3.286,369984.542,2046.864,2030.441,976.557,2.232,3.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,,Cyprus,63701.0
ECU,South America,Ecuador,2022-03-05,836216.0,,,35264.0,,,46746.078,,,1971.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,,Ecuador,16000.0
MLT,Europe,Malta,2022-03-05,71800.0,121.0,88.714,608.0,1.0,0.857,139120.326,234.451,171.894,1178.066,1.938,1.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516100.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,,Malta,28369.0
TUR,Asia,Turkey,2022-03-05,14326217.0,32389.0,50118.286,95379.0,174.0,193.286,168459.032,380.856,589.331,1121.542,2.046,2.273,,,,,,,,,,,,,,,,,,,145972393.0,57710714.0,52855894.0,35405785.0,29047.0,67014.0,171.65,67.86,62.15,41.63,788.0,5482.0,0.006,,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,,Turkey,35213.142857142855
FIN,Europe,Finland,2022-03-05,671773.0,,,2387.0,0.0,3.286,121075.936,,,430.217,0.0,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,,Finland,68961.5
IDN,Asia,Indonesia,2022-03-05,5723858.0,30156.0,31348.571,149918.0,322.0,296.286,20711.467,109.118,113.433,542.47,1.165,1.072,,,,,,,,,,,,,,,,,,,352266904.0,191835428.0,147280509.0,12405103.0,,1211214.0,127.47,69.41,53.29,4.49,4383.0,166163.0,0.06,,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,Indonesia,15000.0
POL,Europe,Poland,2022-03-05,5734041.0,12725.0,11777.857,112535.0,199.0,179.714,151706.247,336.667,311.608,2977.353,5.265,4.755,,,,,,,,,,,,,,,,,,,53504033.0,22539353.0,22245134.0,11423942.0,16949.0,26446.0,141.56,59.63,58.85,30.22,700.0,2930.0,0.008,,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,,Poland,57253.36363636364
EST,Europe,Estonia,2022-03-05,514067.0,3045.0,3730.286,2290.0,15.0,11.0,387920.054,2297.787,2814.911,1728.057,11.319,8.301,,,,,,,,,,,,,,,,,,,1958749.0,857787.0,840122.0,446614.0,412.0,837.0,147.81,64.73,63.4,33.7,632.0,81.0,0.006,,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,,Estonia,43780.0
IRL,Europe,Ireland,2022-03-05,1315100.0,,,6531.0,0.0,8.0,263922.403,,,1310.681,0.0,1.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,,,,Ireland,107633.9
PHL,Asia,Philippines,2022-03-05,3666678.0,931.0,951.143,56879.0,109.0,75.429,33019.181,8.384,8.565,512.207,0.982,0.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,,,,,Philippines,59915.42857142857
UGA,Africa,Uganda,2022-03-05,163383.0,0.0,21.714,3590.0,0.0,0.714,3467.121,0.0,0.461,76.183,0.0,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,,Uganda,36000.0
UZB,Asia,Uzbekistan,2022-03-05,236840.0,69.0,95.143,1637.0,0.0,1.0,6979.068,2.033,2.804,48.238,0.0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,,Uzbekistan,82000.0
KWT,Asia,Kuwait,2022-03-05,622489.0,524.0,540.857,2544.0,1.0,1.143,143809.952,121.057,124.951,587.725,0.231,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,,,,,Kuwait,50000.0
PRT,Europe,Portugal,2022-03-05,3322134.0,13696.0,10118.857,21182.0,20.0,25.857,326726.904,1346.981,995.174,2083.218,1.967,2.543,,85.0,8.36,1189.0,116.936,,,,,,,,,,,,,,22894578.0,9661272.0,9409511.0,6189809.0,8761.0,19694.0,225.16,95.02,92.54,60.88,1937.0,402.0,0.004,,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,,,,,Portugal,55351.892857142855
TUN,Africa,Tunisia,2022-03-05,1005167.0,3413.0,1350.571,27922.0,48.0,31.429,84214.718,285.947,113.153,2339.356,4.022,2.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,Tunisia,90234.5
DEU,Europe,Germany,2022-03-05,15830112.0,116159.0,156770.0,124107.0,52.0,202.143,188677.272,1384.486,1868.523,1479.217,0.62,2.409,,2101.0,25.042,,,1564.0,18.641,5712.0,68.081,,,,,,,,,,,,,,,,,,,,,,,,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,Germany,100453.18309859154
HRV,Europe,Croatia,2022-03-05,1062953.0,1524.0,1340.714,15194.0,22.0,26.0,260421.932,373.378,328.473,3722.508,5.39,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,,Croatia,66294.5
UKR,Europe,Ukraine,2022-03-05,5040518.0,0.0,0.0,112459.0,0.0,0.0,115962.423,0.0,0.0,2587.238,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,,Ukraine,107571.42857142857
BRA,South America,Brazil,2022-03-05,29040800.0,62748.0,41606.857,652216.0,694.0,433.143,135708.832,293.224,194.431,3047.832,3.243,2.024,,,,,,,,,,,,,,,,,,,395464826.0,178203894.0,155711613.0,66609966.0,651967.0,525686.0,184.8,83.28,72.76,31.13,2457.0,94157.0,0.044,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,Brazil,66088.15789473684
CRI,North America,Costa Rica,2022-03-05,814583.0,,,8082.0,0.0,11.857,158508.387,,,1572.663,0.0,2.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,,Costa Rica,20000.0
CHL,South America,Chile,2022-03-05,3168335.0,20901.0,21815.0,42955.0,146.0,126.429,164911.269,1087.893,1135.467,2235.8,7.599,6.581,,1061.0,55.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,,Chile,72519.0
ARG,South America,Argentina,2022-03-05,8934328.0,4430.0,5822.857,126708.0,84.0,94.286,195903.229,97.137,127.678,2778.329,1.842,2.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,Argentina,56444.444444444445
IRQ,Asia,Iraq,2022-03-05,2307555.0,397.0,987.143,25041.0,7.0,11.571,56036.702,9.641,23.972,608.096,0.17,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,,Iraq,100000.0
EGY,Africa,Egypt,2022-03-05,489876.0,1113.0,1307.0,24172.0,10.0,25.714,4698.675,10.675,12.536,231.847,0.096,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,Egypt,99525.0
BIH,Europe,Bosnia and Herzegovina,2022-03-05,372139.0,,,15519.0,,,114032.075,,,4755.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,,Bosnia and Herzegovina,120000.0
ITA,Europe,Italy,2022-03-05,12990223.0,41364.0,36791.857,155782.0,173.0,195.143,215185.808,685.203,609.465,2580.562,2.866,3.233,,609.0,10.088,9583.0,158.744,321.0,5.317,,,,,,,,,,,,134564100.0,50648171.0,47590841.0,37832028.0,87301.0,85915.0,222.91,83.9,78.84,62.67,1423.0,4888.0,0.008,63.89,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,,Italy,55388.85
ISR,Asia,Israel,2022-03-05,3669112.0,7048.0,7698.286,10274.0,10.0,21.143,394910.343,758.584,828.575,1105.801,1.076,2.276,,,,,,,,,,,,,,,,,,,18018774.0,6699787.0,6122211.0,5196776.0,89.0,1289.0,193.94,72.11,65.89,55.93,139.0,86.0,0.001,,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,,Israel,417937.0
GRC,Europe,Greece,2022-03-05,2499259.0,12997.0,14581.714,26143.0,51.0,60.571,240991.223,1253.237,1406.043,2520.841,4.918,5.841,,,,,,,,,,,,,,,,,,,20229483.0,7869354.0,7551492.0,5393028.0,17716.0,15745.0,195.06,75.88,72.82,52.0,1518.0,1860.0,0.018,,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,Greece,52200.153846153844
HKG,Asia,Hong Kong,2022-03-05,440609.0,37529.0,43093.429,1774.0,220.0,171.0,58337.173,4968.886,5705.623,234.88,29.128,22.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,,Hong Kong,65540.0
BOL,South America,Bolivia,2022-03-05,894551.0,351.0,214.714,21455.0,2.0,5.143,75598.398,29.663,18.145,1813.159,0.169,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,,Bolivia,75000.0
RUS,Europe,Russia,2022-03-05,16619507.0,85575.0,96895.143,348467.0,737.0,755.571,113900.875,586.484,664.066,2388.199,5.051,5.178,,,,,,,,68395.0,468.741,,,,,,,,,,161195872.0,78750034.0,72101180.0,12483441.0,238717.0,44579.0,110.47,53.97,49.41,8.56,306.0,31207.0,0.021,,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,,Russia,79242.5
ESP,Europe,Spain,2022-03-05,11100428.0,,,100413.0,,,237466.636,,,2148.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,,Spain,64356.985074626864
