iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,employee_residence,salary_in_usd
HND,North America,Honduras,2022-03-05,413699.0,,,10785.0,0.0,9.286,41110.926,,,1071.749,0.0,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,,Honduras,20000.0
SGP,Asia,Singapore,2022-03-05,819663.0,16274.0,17573.0,1073.0,6.0,10.571,150297.602,2984.084,3222.275,196.751,1.1,1.938,,34.0,6.234,1525.0,279.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453600.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,,Singapore,83092.6
MEX,North America,Mexico,2022-03-05,5554392.0,9748.0,7400.857,319604.0,308.0,227.143,42640.084,74.834,56.815,2453.543,2.364,1.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,,Mexico,98351.1
CAN,North America,Canada,2022-03-05,3334009.0,2728.0,6201.143,36998.0,41.0,55.0,87580.556,71.661,162.897,971.895,1.077,1.445,,571.0,15.0,4750.0,124.777,,,,,,,,,,,,,,81378228.0,32594730.0,30950154.0,17833344.0,19812.0,77622.0,213.77,85.62,81.3,46.85,2039.0,4470.0,0.012,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,,Canada,140564.88381742738
CHE,Europe,Switzerland,2022-03-05,2890568.0,,,13174.0,1.0,,331658.538,,,1511.561,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,,Switzerland,101659.4
BGR,Europe,Bulgaria,2022-03-05,1100811.0,1388.0,1859.286,35811.0,21.0,50.429,159615.205,201.257,269.592,5192.517,3.045,7.312,,,,,,,,,,,,,,,,,,,4310149.0,,2048860.0,694408.0,849.0,1871.0,62.5,,29.71,10.07,271.0,,,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,,Bulgaria,80000.0
CAF,Africa,Central African Republic,2022-03-05,14320.0,0.0,19.0,113.0,0.0,0.0,2910.577,0.0,3.862,22.968,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,,Central African Republic,49216.0
QAT,Asia,Qatar,2022-03-05,358083.0,163.0,245.714,670.0,0.0,0.429,122190.775,55.621,83.847,228.628,0.0,0.146,,,,,,,,,,,,,,,,,,,6397165.0,,,1284705.0,1747.0,13370.0,218.29,,,43.84,4562.0,,,,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,,,,Qatar,300000.0
ARM,Asia,Armenia,2022-03-05,421226.0,218.0,257.571,8528.0,12.0,13.571,141916.386,73.447,86.779,2873.191,4.043,4.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,,Armenia,33500.0
NZL,Oceania,New Zealand,2022-03-05,222767.0,15205.0,21663.571,65.0,2.0,1.286,43455.709,2966.077,4225.966,12.68,0.39,0.251,,,,,,,,,,,,,,,,,,,10728523.0,4270342.0,3968978.0,2489203.0,,20063.0,209.28,83.3,77.42,48.56,3914.0,1721.0,0.034,,5126300.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,,New Zealand,151634.33333333334
THA,Asia,Thailand,2022-03-05,3026695.0,21881.0,22439.857,23235.0,59.0,49.143,43268.885,312.805,320.795,332.162,0.843,0.703,,,,,,,,,,,,,,,,,,,124328055.0,53788628.0,49735847.0,20803580.0,0.0,109360.0,177.74,76.89,71.1,29.74,1563.0,34642.0,0.05,,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,,,,,Thailand,32228.5
LBN,Asia,Lebanon,2022-03-05,1077242.0,1268.0,1705.0,10142.0,8.0,10.429,159139.898,187.32,251.878,1498.268,1.182,1.541,,,,,,,,,,,,,,,,,,,5199656.0,2497183.0,2166325.0,536148.0,455.0,5715.0,76.81,36.89,32.0,7.92,844.0,1211.0,0.018,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,,Lebanon,71750.0
AUT,Europe,Austria,2022-03-05,2839297.0,31289.0,29005.571,14986.0,26.0,32.0,313974.831,3459.997,3207.491,1657.18,2.875,3.539,,198.0,21.895,2525.0,279.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,,Austria,71187.33333333333
SRB,Europe,Serbia,2022-03-05,1923977.0,2146.0,2547.857,15405.0,30.0,35.714,279991.827,312.302,370.784,2241.853,4.366,5.197,,103.0,14.989,1997.0,290.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,,Serbia,25532.0
